Name,PosFWD,PosGK,PosMID,PosDEF
Havertz,0,0,1,0
G.Jesus,1,0,0,0
Martinelli,0,0,1,0
Ødegaard,0,0,1,0
Saka,0,0,1,0
Turner,0,1,0,0
White,0,0,0,1
Cash,0,0,0,1
Douglas Luiz,0,0,1,0
Konsa,0,0,0,1
Martinez,0,1,0,0
Nakamba,0,0,1,0
Watkins,1,0,0,0
Semenyo,1,0,0,0
Solanke,1,0,0,0
Mbeumo,0,0,1,0
Pinnock,0,0,0,1
Wissa,1,0,0,0
Estupiñan,0,0,0,1
Ferguson,1,0,0,0
Gross,0,0,1,0
March,0,0,1,0
Mitoma,0,0,1,0
Al-Dakhil,0,0,0,1
Foster,1,0,0,0
Chilwell,0,0,0,1
Chukwuemeka,0,0,1,0
Enzo,0,0,1,0
Gusto,0,0,0,1
James,0,0,0,1
Lukaku,1,0,0,0
N.Jackson,1,0,0,0
Sterling,0,0,1,0
C.Doucouré,0,0,1,0
Edouard,1,0,0,0
Eze,0,0,1,0
Guéhi,0,0,0,1
Lerma,0,0,1,0
Schlupp,0,0,1,0
A.Doucoure,0,0,1,0
Onana,0,0,1,0
Pickford,0,1,0,0
Leno,0,1,0,0
Lukić,0,0,1,0
Alexander-Arnold,0,0,0,1
A.Becker,0,1,0,0
Darwin,1,0,0,0
Diogo J.,0,0,1,0
Gakpo,1,0,0,0
Luis Díaz,0,0,1,0
Mac Allister,0,0,1,0
Robertson,0,0,0,1
Salah,0,0,1,0
Szoboszlai,0,0,1,0
Virgil,0,0,0,1
Adebayo,1,0,0,0
Andersen,0,0,0,1
Bell,0,0,0,1
Burke,0,0,0,1
Morris,1,0,0,0
Ogbene,1,0,0,0
Woodrow,1,0,0,0
Aké,0,0,0,1
J.Alvarez,1,0,0,0
De Bruyne,0,0,1,0
Rúben,0,0,0,1
Foden,0,0,1,0
Grealish,0,0,1,0
Haaland,1,0,0,0
Rodrigo,0,0,1,0
Stones,0,0,0,1
Walker,0,0,0,1
Antony,0,0,1,0
B.Fernandes,0,0,1,0
Casemiro,0,0,1,0
Rashford,0,0,1,0
Anderson,0,0,1,0
Burn,0,0,0,1
Isak,1,0,0,0
Joelinton,0,0,1,0
Pope,0,1,0,0
Schär,0,0,0,1
Trippier,0,0,0,1
Wilson,1,0,0,0
Awoniyi,1,0,0,0
Gibbs-White,0,0,1,0
Osula,1,0,0,0
Maddison,0,0,1,0
Pedro Porro,0,0,0,1
Sarr,0,0,1,0
Son,0,0,1,0
Antonio,1,0,0,0
Areola,0,1,0,0
Bowen,0,0,1,0
L.Paquetá,0,0,1,0
Neto,0,0,1,0
José Sá,0,1,0,0
Cunha,1,0,0,0
Diaby,0,0,1,0
Disasi,0,0,0,1
Højlund,1,0,0,0
Ward-Prowse,0,0,1,0
