Name,Price
Havertz,7.5
G.Jesus,8
Martinelli,8
Ødegaard,8.5
Saka,8.5
Turner,4
White,5.5
Cash,4.5
Douglas Luiz,5.5
Konsa,4.5
Martinez,5
Nakamba,4.5
Watkins,8
Semenyo,4.5
Solanke,6.5
Mbeumo,7
Pinnock,4.5
Wissa,6
Estupiñan,5.5
Ferguson,6
Gross,6.5
March,6.5
Mitoma,6.5
Al-Dakhil,4
Foster,5
Chilwell,6
Chukwuemeka,4.5
Enzo,5
Gusto,4
James,5.5
Lukaku,7
N.Jackson,7
Sterling,7
C.Doucouré,5
Edouard,5.5
Eze,6.5
Guéhi,4.5
Lerma,5
Schlupp,5
A.Doucoure,5.5
Onana,5
Pickford,4.5
Leno,4.5
Lukić,4.5
Alexander-Arnold,8
A.Becker,5.5
Darwin,7.5
Diogo J.,8
Gakpo,7.5
Luis Díaz,7.5
Mac Allister,6
Robertson,6.5
Salah,12.5
Szoboszlai,7
Virgil,6
Adebayo,5
Andersen,4
Bell,4
Burke,4
Morris,5.5
Ogbene,5
Woodrow,4.5
Aké,5
J.Alvarez,6.5
De Bruyne,10
Rúben,5.5
Foden,7.5
Grealish,7.5
Haaland,14
Rodrigo,5.5
Stones,5.5
Walker,5
Antony,7
B.Fernandes,8.5
Casemiro,5.5
Rashford,9
Anderson,4.5
Burn,4.5
Isak,7.5
Joelinton,6
Pope,5.5
Schär,5
Trippier,6.5
Wilson,8
Awoniyi,6.5
Gibbs-White,6
Osula,4.5
Maddison,8
Pedro Porro,5
Sarr,4.5
Son,9
Antonio,6
Areola,4
Bowen,7
L.Paquetá,6
Neto,5.5
José Sá,5
Cunha,5.5
Diaby,6.5
Disasi,5
Højlund,7
Ward-Prowse,6
